id,text_snippet,labels,cleaned_text
57,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
58,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
59,Does your AI engine support all our needs?,Objection,ai engine support needs
60,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
61,The AI engine feature is impressive.,Competition,ai engine feature impressive
62,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
63,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors
64,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory
65,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
66,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
67,The AI engine feature is impressive.,Competition,ai engine feature impressive
68,We are evaluating pricing models from multiple competitors.,Pricing Discussion,evaluating pricing models multiple competitors
69,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
70,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion, Competition",love analytics competitorx cheaper subscription
71,The AI engine feature is impressive.,Competition,ai engine feature impressive
72,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Objection",love analytics competitorx cheaper subscription
73,The AI engine feature is impressive.,Competition,ai engine feature impressive
74,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors
75,The AI engine feature is impressive.,Competition,ai engine feature impressive
76,The renewal cost is higher than we expected. Can it be negotiable?,Objection,renewal cost higher expected negotiable
77,Does your AI engine support all our needs?,Objection,ai engine support needs
78,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
79,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
80,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory
81,The renewal cost is higher than we expected. Can it be negotiable?,Pricing Discussion,renewal cost higher expected negotiable
82,Does your AI engine support all our needs?,Objection,ai engine support needs
83,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
84,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
85,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
86,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
87,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
88,The AI engine feature is impressive.,Competition,ai engine feature impressive
89,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion, Objection",love analytics competitorx cheaper subscription
90,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
91,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
92,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
93,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
94,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget
95,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
96,Does your AI engine support all our needs?,Objection,ai engine support needs
97,The AI engine feature is impressive.,Competition,ai engine feature impressive
98,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
99,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
100,The AI engine feature is impressive.,Competition,ai engine feature impressive
101,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
102,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
103,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget
104,The AI engine feature is impressive.,Competition,ai engine feature impressive
105,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
106,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
107,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
108,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers
109,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription
110,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors
111,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
112,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost
113,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
114,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
115,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
116,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
117,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
118,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription
119,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
120,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
121,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
122,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
123,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable
124,How secure is the data pipeline of each of the competitors?,"Security, Competition",secure data pipeline competitors
125,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
126,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
127,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
128,The AI engine feature is impressive.,Competition,ai engine feature impressive
129,Trends show that CompetitorZ is more secure compared to CompetitorY.,"Competition, Security",trends show competitorz secure compared competitory
130,Does your AI engine support all our needs?,Objection,ai engine support needs
131,Does your AI engine support all our needs?,Objection,ai engine support needs
132,The AI engine feature is impressive.,Competition,ai engine feature impressive
133,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
134,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
135,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
136,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
137,The AI engine feature is impressive.,Competition,ai engine feature impressive
138,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
139,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
140,Does your AI engine support all our needs?,Objection,ai engine support needs
141,The AI engine feature is impressive.,Competition,ai engine feature impressive
142,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
143,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
144,Does your AI engine support all our needs?,Objection,ai engine support needs
145,Can you adjust the price according to our budget?,Objection,adjust price according budget
146,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors
147,The AI engine feature is impressive.,Competition,ai engine feature impressive
148,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
149,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
150,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
1,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
1,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
3,ai engine support needs,Objection,ai engine support needs
4,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
5,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
6,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
6,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
8,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
8,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
9,data needs topnotch security provide us,Security,data needs topnotch security provide us
10,ai engine support needs,Objection,ai engine support needs
11,secure data pipeline competitors,Security,secure data pipeline competitors
12,data needs topnotch security provide us,Security,data needs topnotch security provide us
14,get discount renewal cost,Objection,get discount renewal cost
14,get discount renewal cost,Pricing Discussion,get discount renewal cost
17,secure data pipeline competitors,Security,secure data pipeline competitors
19,get discount renewal cost,Pricing Discussion,get discount renewal cost
19,get discount renewal cost,Objection,get discount renewal cost
20,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
22,ai engine support needs,Objection,ai engine support needs
24,adjust price according budget,Pricing Discussion,adjust price according budget
25,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
27,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
28,adjust price according budget,Pricing Discussion,adjust price according budget
29,ai engine support needs,Objection,ai engine support needs
31,ai engine support needs,Objection,ai engine support needs
33,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
34,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
35,data needs topnotch security provide us,Security,data needs topnotch security provide us
36,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
38,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
40,get discount renewal cost,Objection,get discount renewal cost
40,get discount renewal cost,Pricing Discussion,get discount renewal cost
41,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
41,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
42,secure data pipeline competitors,Security,secure data pipeline competitors
43,adjust price according budget,Objection,adjust price according budget
43,adjust price according budget,Pricing Discussion,adjust price according budget
44,data needs topnotch security provide us,Security,data needs topnotch security provide us
46,data needs topnotch security provide us,Security,data needs topnotch security provide us
47,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
50,secure data pipeline competitors,Security,secure data pipeline competitors
51,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
51,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
53,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
54,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
55,get discount renewal cost,Objection,get discount renewal cost
56,ai engine support needs,Objection,ai engine support needs
58,adjust price according budget,Pricing Discussion,adjust price according budget
59,ai engine support needs,Objection,ai engine support needs
60,data needs topnotch security provide us,Security,data needs topnotch security provide us
62,secure data pipeline competitors,Security,secure data pipeline competitors
63,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
64,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
65,secure data pipeline competitors,Security,secure data pipeline competitors
66,adjust price according budget,Pricing Discussion,adjust price according budget
66,adjust price according budget,Objection,adjust price according budget
68,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
69,data needs topnotch security provide us,Security,data needs topnotch security provide us
70,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
70,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
72,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
74,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
76,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
77,ai engine support needs,Objection,ai engine support needs
78,data needs topnotch security provide us,Security,data needs topnotch security provide us
79,data needs topnotch security provide us,Security,data needs topnotch security provide us
80,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
81,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
82,ai engine support needs,Objection,ai engine support needs
85,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
86,data needs topnotch security provide us,Security,data needs topnotch security provide us
89,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
89,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
91,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
92,get discount renewal cost,Objection,get discount renewal cost
92,get discount renewal cost,Pricing Discussion,get discount renewal cost
94,adjust price according budget,Objection,adjust price according budget
94,adjust price according budget,Pricing Discussion,adjust price according budget
95,data needs topnotch security provide us,Security,data needs topnotch security provide us
96,ai engine support needs,Objection,ai engine support needs
99,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
102,secure data pipeline competitors,Security,secure data pipeline competitors
103,adjust price according budget,Objection,adjust price according budget
103,adjust price according budget,Pricing Discussion,adjust price according budget
105,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
106,data needs topnotch security provide us,Security,data needs topnotch security provide us
109,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
109,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
110,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
111,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
112,get discount renewal cost,Pricing Discussion,get discount renewal cost
112,get discount renewal cost,Objection,get discount renewal cost
113,adjust price according budget,Pricing Discussion,adjust price according budget
113,adjust price according budget,Objection,adjust price according budget
114,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
117,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
118,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
118,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
119,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
120,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
120,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
121,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
123,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
123,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
124,secure data pipeline competitors,Security,secure data pipeline competitors
125,data needs topnotch security provide us,Security,data needs topnotch security provide us
126,data needs topnotch security provide us,Security,data needs topnotch security provide us
127,adjust price according budget,Pricing Discussion,adjust price according budget
129,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
130,ai engine support needs,Objection,ai engine support needs
131,ai engine support needs,Objection,ai engine support needs
133,data needs topnotch security provide us,Security,data needs topnotch security provide us
134,adjust price according budget,Pricing Discussion,adjust price according budget
134,adjust price according budget,Objection,adjust price according budget
135,data needs topnotch security provide us,Security,data needs topnotch security provide us
136,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
136,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
139,data needs topnotch security provide us,Security,data needs topnotch security provide us
140,ai engine support needs,Objection,ai engine support needs
142,adjust price according budget,Pricing Discussion,adjust price according budget
143,secure data pipeline competitors,Security,secure data pipeline competitors
144,ai engine support needs,Objection,ai engine support needs
145,adjust price according budget,Objection,adjust price according budget
146,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
149,adjust price according budget,Pricing Discussion,adjust price according budget
149,adjust price according budget,Objection,adjust price according budget
150,adjust price according budget,Pricing Discussion,adjust price according budget
150,adjust price according budget,Objection,adjust price according budget
