id,text_snippet,labels,cleaned_text
79,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
65,secure data pipeline competitors,Security,secure data pipeline competitors
121,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
110,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
112,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost
42,secure data pipeline competitors,Security,secure data pipeline competitors
109,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription
36,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
110,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors
150,adjust price according budget,Pricing Discussion,adjust price according budget
70,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion, Competition",love analytics competitorx cheaper subscription
114,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers
3,Does your AI engine support all our needs?,Objection,ai engine support needs
105,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
77,Does your AI engine support all our needs?,Objection,ai engine support needs
113,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
147,The AI engine feature is impressive.,Competition,ai engine feature impressive
8,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
97,The AI engine feature is impressive.,Competition,ai engine feature impressive
118,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription
148,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
40,get discount renewal cost,Objection,get discount renewal cost
91,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
75,The AI engine feature is impressive.,Competition,ai engine feature impressive
128,The AI engine feature is impressive.,Competition,ai engine feature impressive
30,The AI engine feature is impressive.,Competition,ai engine feature impressive
92,get discount renewal cost,Objection,get discount renewal cost
63,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
114,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
149,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
136,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
6,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable
117,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
57,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
8,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
41,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
66,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
17,secure data pipeline competitors,Security,secure data pipeline competitors
86,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
38,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
13,The AI engine feature is impressive.,Competition,ai engine feature impressive
36,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
29,Does your AI engine support all our needs?,Objection,ai engine support needs
72,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
140,Does your AI engine support all our needs?,Objection,ai engine support needs
52,"We love the analytics, but CompetitorX has a cheaper subscription.",Competition,love analytics competitorx cheaper subscription
96,Does your AI engine support all our needs?,Objection,ai engine support needs
31,ai engine support needs,Objection,ai engine support needs
146,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
42,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
111,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
41,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
137,The AI engine feature is impressive.,Competition,ai engine feature impressive
27,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors
144,ai engine support needs,Objection,ai engine support needs
142,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
19,get discount renewal cost,Objection,get discount renewal cost
1,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable
112,get discount renewal cost,Pricing Discussion,get discount renewal cost
101,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
80,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
74,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
99,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
37,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
62,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
1,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
56,ai engine support needs,Objection,ai engine support needs
125,data needs topnotch security provide us,Security,data needs topnotch security provide us
62,secure data pipeline competitors,Security,secure data pipeline competitors
12,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
149,adjust price according budget,Pricing Discussion,adjust price according budget
109,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
28,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
43,adjust price according budget,Objection,adjust price according budget
5,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
123,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable
33,The renewal cost is higher than we expected. Can it be negotiable?,Objection,renewal cost higher expected negotiable
85,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
12,data needs topnotch security provide us,Security,data needs topnotch security provide us
33,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
78,data needs topnotch security provide us,Security,data needs topnotch security provide us
139,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
63,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors
136,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
129,Trends show that CompetitorZ is more secure compared to CompetitorY.,"Competition, Security",trends show competitorz secure compared competitory
140,ai engine support needs,Objection,ai engine support needs
95,data needs topnotch security provide us,Security,data needs topnotch security provide us
71,The AI engine feature is impressive.,Competition,ai engine feature impressive
102,secure data pipeline competitors,Security,secure data pipeline competitors
65,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
45,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
55,get discount renewal cost,Objection,get discount renewal cost
6,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
41,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable
124,How secure is the data pipeline of each of the competitors?,"Security, Competition",secure data pipeline competitors
89,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
4,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
24,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
94,adjust price according budget,Objection,adjust price according budget
89,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
82,Does your AI engine support all our needs?,Objection,ai engine support needs
40,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
60,data needs topnotch security provide us,Security,data needs topnotch security provide us
120,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
48,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
95,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
96,ai engine support needs,Objection,ai engine support needs
118,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
11,secure data pipeline competitors,Security,secure data pipeline competitors
44,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
146,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors
47,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
69,data needs topnotch security provide us,Security,data needs topnotch security provide us
4,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Competition",love analytics competitorx cheaper subscription
106,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
54,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion",love analytics competitorx cheaper subscription
134,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
2,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
103,adjust price according budget,Objection,adjust price according budget
104,The AI engine feature is impressive.,Competition,ai engine feature impressive
50,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
14,get discount renewal cost,Objection,get discount renewal cost
81,The renewal cost is higher than we expected. Can it be negotiable?,Pricing Discussion,renewal cost higher expected negotiable
66,adjust price according budget,Pricing Discussion,adjust price according budget
35,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
118,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
8,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion",love analytics competitorx cheaper subscription
25,trends show competitorz secure compared competitory,Security,trends show competitorz secure compared competitory
58,adjust price according budget,Pricing Discussion,adjust price according budget
123,renewal cost higher expected negotiable,Objection,renewal cost higher expected negotiable
111,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
92,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
84,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
130,Does your AI engine support all our needs?,Objection,ai engine support needs
53,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
90,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
9,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
14,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
60,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
89,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion, Objection",love analytics competitorx cheaper subscription
132,The AI engine feature is impressive.,Competition,ai engine feature impressive
18,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
19,get discount renewal cost,Pricing Discussion,get discount renewal cost
73,The AI engine feature is impressive.,Competition,ai engine feature impressive
145,adjust price according budget,Objection,adjust price according budget
135,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
117,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
94,adjust price according budget,Pricing Discussion,adjust price according budget
136,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
64,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory
113,adjust price according budget,Pricing Discussion,adjust price according budget
55,Can we get a discount on renewal cost?,Objection,get discount renewal cost
108,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers
51,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
119,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
29,ai engine support needs,Objection,ai engine support needs
120,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
46,data needs topnotch security provide us,Security,data needs topnotch security provide us
15,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
68,evaluating pricing models multiple competitors,Pricing Discussion,evaluating pricing models multiple competitors
43,adjust price according budget,Pricing Discussion,adjust price according budget
82,ai engine support needs,Objection,ai engine support needs
124,secure data pipeline competitors,Security,secure data pipeline competitors
22,ai engine support needs,Objection,ai engine support needs
59,Does your AI engine support all our needs?,Objection,ai engine support needs
49,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
105,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
121,competitory offering discount firsttime customers,Pricing Discussion,competitory offering discount firsttime customers
22,Does your AI engine support all our needs?,Objection,ai engine support needs
10,ai engine support needs,Objection,ai engine support needs
50,secure data pipeline competitors,Security,secure data pipeline competitors
126,data needs topnotch security provide us,Security,data needs topnotch security provide us
150,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget
131,Does your AI engine support all our needs?,Objection,ai engine support needs
1,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
100,The AI engine feature is impressive.,Competition,ai engine feature impressive
88,The AI engine feature is impressive.,Competition,ai engine feature impressive
77,ai engine support needs,Objection,ai engine support needs
122,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
150,adjust price according budget,Objection,adjust price according budget
21,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
44,data needs topnotch security provide us,Security,data needs topnotch security provide us
72,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Objection",love analytics competitorx cheaper subscription
107,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
142,adjust price according budget,Pricing Discussion,adjust price according budget
103,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget
